backers_count,category,country,creator,currency,disable_communication,goal,is_starrable,staff_pick,state,urls,usd_pledged,location,blurb_length,duration
123,fashion/accessories,US,1731960394,USD,False,25000.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1731960394/the-dukpak-the-perfect-bag-for-travel-adventure-an?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1731960394/the-dukpak-the-perfect-bag-for-travel-adventure-an/rewards'}",22029.0,"Raleigh, NC",9,45
20,fashion/accessories,CA,1303986049,CAD,False,500.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1303986049/gravity-falls-enamel-pins-serie?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1303986049/gravity-falls-enamel-pins-serie/rewards'}",581.52341544,"Sherbrooke, Canada",9,30
92,fashion/accessories,CA,713516368,CAD,False,700.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/713516368/life-enamel-pins-make-100?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/713516368/life-enamel-pins-make-100/rewards'}",2498.30789636,"Vancouver, Canada",18,30
87,fashion/accessories,US,478422915,USD,False,400.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/478422915/vulture-and-skull-enamel-pin-set?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/478422915/vulture-and-skull-enamel-pin-set/rewards'}",2415.0,"New York, NY",18,30
20,fashion/accessories,GB,526972627,GBP,False,250.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/526972627/be-a-stamp-motivational-hard-enamel-pin-badge?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/526972627/be-a-stamp-motivational-hard-enamel-pin-badge/rewards'}",320.27862867,"Liverpool, UK",26,25
0,fashion/accessories,GB,1521171385,GBP,False,18000.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1521171385/playful-and-fashionable-eyewear-sunglasses?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1521171385/playful-and-fashionable-eyewear-sunglasses/rewards'}",0.0,"London, UK",22,30
6,fashion/accessories,GB,872530257,GBP,False,4000.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/872530257/wildling-more-than-a-subscription-box?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/872530257/wildling-more-than-a-subscription-box/rewards'}",177.47040896,"London, UK",22,30
70,fashion/accessories,US,1683115075,USD,False,10000.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/shopbota/bota-hydration-backpack?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/shopbota/bota-hydration-backpack/rewards'}",11644.0,"San Francisco, CA",24,30
9,fashion/accessories,US,1776247704,USD,False,400.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1776247704/princess-zelda-tiara-hard-enamel-pin-set?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1776247704/princess-zelda-tiara-hard-enamel-pin-set/rewards'}",197.0,"San Diego, CA",12,31
8,fashion/accessories,US,1742694206,USD,False,500.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1742694206/the-priest-and-the-pharoah-hard-enamel-pins?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1742694206/the-priest-and-the-pharoah-hard-enamel-pins/rewards'}",264.0,"Bowie, MD",9,30
