backers_count,category,country,creator,currency,disable_communication,goal,is_starrable,staff_pick,state,usd_pledged,location,blurb_length,duration
26,2,9,2098430776,5,0,-0.035956614484835746,1,0,live,1957.312612,2826,-0.48711140497941713,-0.2839224715204801
16,0,9,647122716,5,0,-0.03653747741059897,1,1,live,1910.977378,8832,-0.28074590700301283,-0.4411341256311016
4,10,21,1344869869,13,0,-0.03521705632182684,1,0,live,257.0,13745,-0.48711140497941713,-0.2839224715204801
5,0,21,231991785,13,0,-0.008740822291975193,1,0,live,310.0,11014,0.33835058692620007,-0.2839224715204801
15,0,3,1993102457,1,0,-0.037027653418312295,1,0,live,494.29852227,10797,0.957447080855413,-0.2839224715204801
43,4,21,1079017633,13,0,-0.03720277387406571,1,0,live,1109.0,2660,0.5447160849026044,-0.3625282985757909
5,6,21,1885999144,13,0,-0.03687182094869256,1,0,live,401.0,522,0.7510815828790086,-0.2839224715204801
4,10,21,1904050817,13,0,-0.026667714877125055,1,0,live,220.0,7595,0.7510815828790086,1.9170406860282208
17,0,21,1846094478,13,0,-0.03645812979197613,1,0,live,505.0,6395,1.1638125788318172,-0.2839224715204801
0,3,21,686658719,13,0,-0.03521705632182684,1,0,live,0.0,3191,-0.48711140497941713,-0.2839224715204801
1,6,21,5113702,13,0,-0.035630747478543265,1,0,live,50.0,522,0.33835058692620007,0.26631831786669513
1,4,21,451718837,13,0,-0.03356229169496111,1,0,live,1.0,9269,-0.8998424009322258,0.4235299719773166
18,6,21,589953718,13,0,-0.037161404758394065,1,0,live,407.33,2334,1.1638125788318172,-0.2839224715204801
4,6,21,379938045,13,0,-0.037641286500185125,1,0,live,387.0,8801,-1.3125733968850344,-0.20531664446516937
0,4,9,442755829,5,0,-0.03728881805168362,1,0,live,0.0,10009,-0.48711140497941713,-0.2839224715204801
45,3,21,2071314108,13,0,-0.03720277387406571,1,0,live,1999.0,4035,-1.7253043928378429,-0.9913749150182769
4,10,21,1116308064,13,0,-0.0360444386352597,1,0,live,284.0,8611,-0.28074590700301283,-0.2839224715204801
0,4,21,1081298655,13,0,-0.03190752706809538,1,0,live,0.0,11041,0.33835058692620007,-0.2839224715204801
13,2,9,1235183237,5,0,-0.03740607096895271,1,0,live,204.07035312,7256,-1.3125733968850344,-0.2839224715204801
4,4,21,1049765248,13,0,-0.03745098856809557,1,0,live,170.0,1357,-2.344400886767056,-0.2839224715204801
93,4,7,492191096,4,0,-0.035644062227708065,1,0,live,2873.88083866,730,-0.8998424009322258,-0.4411341256311016
1,6,21,1252571311,13,0,-0.03521705632182684,1,0,live,35.0,6279,-0.48711140497941713,-0.2839224715204801
128,0,21,1353094847,13,0,-0.037037297411379136,1,0,live,4526.0,9943,-0.8998424009322258,0.10910666375607361
185,0,21,2059817035,13,0,-0.029425380127796788,1,1,live,19304.0,1582,-0.8998424009322258,-0.5197399526864124
4,3,21,1279813317,13,0,-0.03687182094869256,1,0,live,65.0,3225,0.33835058692620007,-0.5197399526864124
12,7,9,640610359,5,0,-0.035354144916743664,1,0,live,497.42148573,7063,0.7510815828790086,-0.5197399526864124
8,7,21,221621316,13,0,-0.036696415898244794,1,0,live,235.0,11199,-2.55076638474346,-0.4411341256311016
2,0,15,770323903,8,0,-0.03473253284649496,1,0,live,29.5815795,5050,-0.48711140497941713,-0.2839224715204801
0,3,9,1383078784,5,0,-0.037464331292711144,1,0,live,0.0,6934,-0.6934769029558214,-0.2839224715204801
14,10,21,238292504,13,0,-0.03687182094869256,1,0,live,841.0,9864,0.7510815828790086,-0.2839224715204801
0,7,21,1763938340,13,0,-0.03455515047108054,1,0,live,0.0,192,0.7510815828790086,0.34492414492200585
3,4,7,1481791591,4,0,-0.03728810408569664,1,0,live,540.34313655,7507,0.7510815828790086,-0.2839224715204801
7,0,5,1363063161,4,0,0.0034107143807535468,1,0,live,1018.5778666,11035,-2.7571318827198645,2.0742523401388424
3,4,21,333562791,13,0,-0.03521705632182684,1,0,live,117.0,11027,1.1638125788318172,-0.2839224715204801
2,0,21,291101887,13,0,-0.03356229169496111,1,0,live,499.99,5683,0.13198508894979574,-0.2839224715204801
5,4,21,1204326316,13,0,-0.037037297411379136,1,0,live,95.0,522,-3.5825938746254815,0.4235299719773166
9,6,21,174156029,13,0,-0.037285512105408994,1,0,live,291.0,7327,-0.07438040902660854,-0.2839224715204801
0,6,21,1536679956,13,0,-0.035630747478543265,1,0,live,0.0,1157,-2.55076638474346,-0.2839224715204801
11,7,21,1005139642,13,0,-0.037285512105408994,1,0,live,137.0,2656,-0.48711140497941713,-0.2839224715204801
10,0,21,124465655,13,0,-0.037368250336752284,1,0,live,106.0,11116,-0.6934769029558214,-0.5983457797417231
7,0,21,762667665,13,0,-0.03521705632182684,1,0,live,660.0,3984,-0.48711140497941713,-0.2839224715204801
17,5,15,208153654,8,0,-0.03725419824973074,1,0,live,443.7236925,7998,0.33835058692620007,-0.2839224715204801
159,0,21,232248944,13,0,-0.03645812979197613,1,0,live,5584.0,8635,-0.28074590700301283,-0.5983457797417231
18,11,21,265859079,13,0,-0.03749235768376721,1,0,live,258.0,314,-0.07438040902660854,-0.2839224715204801
0,7,3,736699211,1,0,-0.03656289967680158,1,0,live,0.0,12813,-1.5189388948614386,-0.2839224715204801
2,0,21,881615499,13,0,-0.037285512105408994,1,0,live,134.0,1162,0.957447080855413,-0.3625282985757909
1,4,21,2078981176,13,0,-0.03455515047108054,1,0,live,20.0,10837,-0.07438040902660854,-1.0699807420735876
8,4,21,52592751,13,0,-0.03642503449943882,1,0,live,347.0,314,-0.6934769029558214,-0.6769516067970338
34,0,21,1321821357,13,0,-0.03314860053824468,1,1,live,4498.61,10145,-0.48711140497941713,-0.2839224715204801
1,0,21,1389122944,13,0,-0.037285512105408994,1,0,live,1.0,1390,0.7510815828790086,-0.2839224715204801
9,4,9,1274540213,5,0,-0.03594643554773415,1,0,live,865.73972836,8832,-0.28074590700301283,-0.9913749150182769
3,7,21,1044930636,13,0,-0.03765783414645379,1,0,live,315.0,2245,0.33835058692620007,-1.5416157044054521
12,8,13,1974594841,7,0,-0.03544485783941968,1,1,live,242.5412192,12769,-0.07438040902660854,2.0742523401388424
8,4,21,1127711744,13,0,-0.03732688122108064,1,0,live,286.0,4344,-1.9316698908142473,-0.7555574338523446
0,3,21,462766960,13,0,-0.037285512105408994,1,0,live,0.0,12015,0.957447080855413,1.9956465130835315
23,0,3,1981128844,1,0,-0.03686049330745462,1,0,live,456.77157999,10555,-2.7571318827198645,-0.5983457797417231
1878,0,21,375523990,13,0,-0.023633703933766743,1,0,live,37802.0,5280,-0.48711140497941713,-1.5416157044054521
2,7,21,1212304044,13,0,-0.03745098856809557,1,0,live,142.0,9853,-0.48711140497941713,1.6812232048622886
4,4,21,821568110,13,0,-0.02115155699346815,1,0,live,538.0,9864,0.957447080855413,-0.2839224715204801
4,7,21,462196770,13,0,-0.0360444386352597,1,0,live,160.0,11087,-0.28074590700301283,-0.2839224715204801
17,4,21,1547564239,13,0,-0.03765783414645379,1,0,live,296.0,12331,-0.6934769029558214,-0.2839224715204801
0,0,9,1803701681,5,0,-0.035339770423216524,1,0,live,0.0,12816,0.13198508894979574,0.10910666375607361
0,0,3,1391202032,1,0,-0.03703313045756017,1,0,live,0.0,7253,-0.48711140497941713,-0.4411341256311016
0,0,9,909272584,5,0,-0.03723179853828776,1,0,live,0.0,9171,0.957447080855413,-0.2839224715204801
3,0,21,2052737550,13,0,-0.02983907128451322,1,0,live,380.0,9438,-1.3125733968850344,-0.2839224715204801
3,2,21,1883046435,13,0,-0.03759329832600602,1,0,live,41.0,8274,0.13198508894979574,1.6812232048622886
3,3,3,2054583039,1,0,-0.0373661668598428,1,0,live,65.20794111,13187,-1.5189388948614386,-0.2839224715204801
0,0,21,855496568,13,0,0.003669912409517764,1,0,live,0.0,1357,1.3701780768082215,-0.2839224715204801
78,0,21,1118736881,13,0,-0.03720277387406571,1,0,live,1357.0,3191,-0.8998424009322258,-0.2839224715204801
